          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.0

 bolometric           0    0.482 (0.0673)    0.606  0.185 (0.0171)    0.204  0.463 (0.0082)
 Stromgren      u     1    0.727 (0.0508)    0.800  0.109 (0.0230)    0.564  0.272 (0.0180)
                v     2    0.916 (0.0732)    0.718 -0.298 (0.0354)    1.363 -0.744 (0.0493)
                b     3    1.088 (0.1224)    0.778 -0.465 (0.0395)    1.786 -1.163 (0.0616)
                y     4    0.988 (0.0684)    0.810 -0.266 (0.0304)    1.387 -0.666 (0.0431)
 Johnson        U     5    0.769 (0.0304)    0.781  0.017 (0.0275)    0.743  0.044 (0.0267)
                B     6    1.034 (0.1042)    0.764 -0.404 (0.0386)    1.639 -1.009 (0.0577)
                V     7    0.970 (0.0602)    0.812 -0.237 (0.0297)    1.325 -0.591 (0.0410)
                R     8    0.824 (0.0218)    0.795 -0.043 (0.0270)    0.890 -0.109 (0.0291)
                I     9    0.627 (0.0535)    0.710  0.124 (0.0235)    0.441  0.310 (0.0176)
                J    10    0.491 (0.0567)    0.599  0.161 (0.0130)    0.249  0.403 (0.0056)
                K    11    0.322 (0.1057)    0.529  0.312 (0.0166)   -0.146  0.779 (0.0017)
                L    12    0.241 (0.0772)    0.390  0.224 (0.0139)   -0.095  0.560 (0.0031)
                M    13    0.133 (0.0435)    0.212  0.118 (0.0124)   -0.043  0.294 (0.0068)
                N    14    0.115 (0.0364)    0.181  0.100 (0.0097)   -0.035  0.249 (0.0050)
 Cousins        Rc   15    0.878 (0.0266)    0.813 -0.099 (0.0271)    1.026 -0.246 (0.0318)
                Ic   16    0.706 (0.0434)    0.761  0.081 (0.0255)    0.584  0.203 (0.0215)
 Bessell        UX   17    0.765 (0.0323)    0.783  0.028 (0.0269)    0.723  0.069 (0.0257)
 Bessell        BX   18    1.035 (0.1047)    0.765 -0.405 (0.0386)    1.643 -1.013 (0.0578)
 Bessell        B    19    1.034 (0.1043)    0.764 -0.404 (0.0386)    1.640 -1.010 (0.0577)
 Bessell        V    20    0.970 (0.0599)    0.813 -0.235 (0.0296)    1.323 -0.588 (0.0409)
 Bessell        R    21    0.875 (0.0261)    0.811 -0.095 (0.0271)    1.017 -0.238 (0.0317)
 Bessell        I    22    0.691 (0.0461)    0.753  0.093 (0.0251)    0.552  0.232 (0.0206)
 Tycho         TyB   23    1.006 (0.1000)    0.746 -0.391 (0.0382)    1.592 -0.976 (0.0567)
               TyV   24    0.988 (0.0699)    0.806 -0.274 (0.0317)    1.399 -0.684 (0.0448)
 Hipparchos    HIP   25    0.946 (0.0543)    0.801 -0.217 (0.0306)    1.271 -0.541 (0.0410)
 KEPLER              26    0.847 (0.0245)    0.791 -0.084 (0.0279)    0.973 -0.210 (0.0319)
